id_sensor,tipo_sensor,equipamento,estufa,valor,data_hora,qualidade,hora_do_dia,dia_semana,is_dia
1,Temperatura,1,Estufa 1,21.48,2025-09-03 20:38:03.242352,Normal,20,Wednesday,False
1,Temperatura,1,Estufa 1,18.31,2025-09-03 21:08:03.242352,Normal,21,Wednesday,False
1,Temperatura,1,Estufa 1,22.24,2025-09-03 21:38:03.242352,Normal,21,Wednesday,False
1,Temperatura,1,Estufa 1,26.62,2025-09-03 22:08:03.242352,Normal,22,Wednesday,False
1,Temperatura,1,Estufa 1,17.83,2025-09-03 22:38:03.242352,Alerta,22,Wednesday,False
1,Temperatura,1,Estufa 1,17.83,2025-09-03 23:08:03.242352,Alerta,23,Wednesday,False
1,Temperatura,1,Estufa 1,26.9,2025-09-03 23:38:03.242352,Normal,23,Wednesday,False
1,Temperatura,1,Estufa 1,22.84,2025-09-04 00:08:03.242352,Normal,0,Thursday,False
1,Temperatura,1,Estufa 1,16.65,2025-09-04 00:38:03.242352,Alerta,0,Thursday,False
1,Temperatura,1,Estufa 1,21.71,2025-09-04 01:08:03.242352,Normal,1,Thursday,False
1,Temperatura,1,Estufa 1,16.68,2025-09-04 01:38:03.242352,Alerta,1,Thursday,False
1,Temperatura,1,Estufa 1,16.67,2025-09-04 02:08:03.242352,Alerta,2,Thursday,False
1,Temperatura,1,Estufa 1,12.07,2025-09-04 02:38:03.242352,Critico,2,Thursday,False
1,Temperatura,1,Estufa 1,10.0,2025-09-04 03:08:03.242352,Critico,3,Thursday,False
1,Temperatura,1,Estufa 1,15.22,2025-09-04 03:38:03.242352,Alerta,3,Thursday,False
1,Temperatura,1,Estufa 1,16.19,2025-09-04 04:08:03.242352,Alerta,4,Thursday,False
1,Temperatura,1,Estufa 1,13.94,2025-09-04 04:38:03.242352,Critico,4,Thursday,False
1,Temperatura,1,Estufa 1,20.57,2025-09-04 05:08:03.242352,Normal,5,Thursday,False
